Name,Description
cow girl,female puppy 5 months old toilet trained and good natured vaccinated and deformed adopted required to never dog after adoption please call
cute kitty in damansara,very cut little kitty need loving home
scooby,although big in size this gentle giant is absolutely friendly and have special love for children scoop was given up by his owner due to marriage failure and neither one wants to take on the ownership of scoop scoop is quiet and doesn bark unnecessarily he is also independent and easy to manage adoption requirement a adopted must be an animal lover and preferably have experience in handling dog b no long hour of raging or tied on leash c provide necessary medical needs vaccination reforming fleatickheartworm prevention etc d walk him regularly with plenty of exercise e provide progress update and add us on facebook you can view the dog before deciding if you are interested please leave a comment below and pm us your contact number
bruno,brunn is a beautiful tricoloured baby that was rescued a month a go when someone wired his mouth sister lily of similar colour is also available please cal brunn needs a urgent home
creammy girl,adopted must vaccinatespay at 6 months old and keep her indoors fenced callwhatsapp address one pet 2120 one square tingkat mahsuri 1 bryan leaps opening
8month old spayed tabby,8 month old friendly grey cabby for adoption she has been stayed and needs a home she is a calm and gentle cat loves attention rubsinterested adopted can whatapp me location band bare bang
no name,quite active and cut if anyone feel interested pus post a reply to me
si comel bubu,really need cat lover to adopt only serious person malo bone by oak org g tell area but jail or g berdekatan labor tu by during sub my bubo did susan oak am nan during dews tambah2 malo during jantankalo 6 began kebawah did okay harp by apt jump don org g begun di sing g bone ja did seventh hat by sat syrian did to memandangkan ami sell de mass sub travel n outstation so did seeing terabai ff shahzie anti manner he amie
miu miu,mid mid is playful and friendly she can understand some basic commands
baby tortie,looking for a forever home for her
lola,she was found by the river with her other shillings they have been adopted successfully she previously had minor skin issues which she has recovered from now she is very active and intelligent she has been given petty training
rosie,as we are leaving malasha we cannot take two of our three dogs with us and rose is one of them she came to us two years ago when she was roaming the street having been abandoned or thrown out by her previous owner she then decided to adopt us yep she waited in front of our gate every day until we took her in and has since been the reason for many laughs even though she must have had bad experiences before she is very trusting and curious and i have never seen her aggressive towards people she will always try to stay close to one of us although she is very alert she rarely barks and is generally very calm she has learned some commands but needs some additional training to listen really well rose would be ideal for a family with kiss as she is very gentle and patient she is currently living inside the house as well as outside in the garden so please no small cases or chain for her even though we leave the dogs alone during the days she has never chewed or destroyed anything i hope a new family can give her the life and love she deserves what this dog lacks in beauty she makes up in cheerfulness and personality
poison,mania naval and pending
silver,silver was rescued by a tender at japan valor silver might have a home before as when the tender pick him up he was very clean and well feed he might had been abandon maybe because he like to localise a lot he likes to play a lot he is very come and friendly
no names yet,we rescued the mother not knowing of her pregnancy she delivered a litter of 8 seven weeks ago 3 whitecream n 2 brown they have been vaccinated st dose n deformed mother is a merrier and father unknown we are looking for loving homes for these adorable pus as we can keep them due to space constraint and local town council rules they are toilet trained in the garden
no name,this little girl is still waiting to be become all her brothers found a home except her she healthy deformed vaccinated wellbehaved and full of love
yellowme1,super friendly pet male fur is short but thick do sums me at
4 little kitties,the mother cat come to our neighborhood lately and gave birth to 4 little cities i can keep them because we are already have 3 cats please calls if you are interested
red,my neighbours dog gave birth to this puppy she is very friendly like to draw close with people my neighbour no longer stay here so there is no shelter for her
ash,ash is a playful kitten that loves to eat he is used to staying indoors and uses his litter tray ash likes being around people very mania and loves muddling up on your lap he is used to being free to roam in the house and dislikes being caged he is fully vaccinated and has been deformed he may be entered in a weeks time terms and conditions for adopting ash 1 must be kept indoors only 2 must not be allowed to roam freely outside 3 must not be caged for long periods of time 4 must be entered when he is 5 months old entering is a surgical procedure done so that the cat cannot impregnated a female cat 5 must be provided with sufficient food water shelter and attention daily 6 must be played with daily if you are interested and serious in adopting ash feel free to drop me a message only serious adopted will be entertained
no name,he came to my house himself seeking for new home however due to my house have dog and rabbit i was unable to keep him so he temporary stay at back yard which dont have any protection
billy,their pregnant mother was dumped by her irresponsible owner at the roadside near some shops in sprang jay gave birth to them at the roadside they are all healthy and adorable supplies already deformed vaccinated and ready to go to a home no tying or raging for long hours as guard dogs however it is acceptable to cage or tie for precautionary purposes interested to adopt pus call me
dogs,love to play
dreamer german sherped mix,dreamer is affectionate and loves to be with people very obedient and she knows it when she does something wrong she can be your all time best friend requirements for adoption cost of vaccination and entering to be borne by adoptervaccinations and neuteringspaying at 6 months of age are compulsory if you are interested in adoptingkindly contact me by call or sums please do not submit an inquiry if you are not serious about adopting
mee ho,gender female estimated age approximately 35 years old as of color black stayed yes vaccinated yes characteristic shy and timid dont really fancy petting will require a family with lots of love and patience to work on gaining her trust and opening up her heart adoption fee up to the generosity of adopted fee will be used for the met bills of our other rescue we are looking for people to open their hearts and homes to adopt her and give her a forever home she can count on please help us to share to help us to find her a loving and forever home much appreciated
m5,for adoption
sierra,pierre is a beautiful black an girl who is friendly she is alert and will make a good guard dog when she grows up if you wish to adopt please call pierre can be viewed in among you wont regret it
no name,both of them were brother and sister they were rescued from let stations they are tiny and cut the female is a little bit more timid and the male is a little bit cooper than its sister please do call mr him ms mon if you are keen to adopt these supplies thanks clot
tmoet junior,small sweet kitten white with adorable blue eyes long tail crooked at the base he was left outside my gate by some irresponsible person my boys found him shivering i am now fostering him and desperately need to find a permanent home for him soon in guessing he is about 3 months he is very tiny already able to eat solid food and running around i currently already have 6 of my own and i am struggling to cope judging a job which requires me to work long hours with 6 cats is really taxing hope someone will be able to give this fell a place to call home please drop me an email if you can help
joy,she was adopted but return to us 2 months later because some family problem hope to find a good home this time
schnauzer found in ara damansara,this miniature schnauzer was found jan wandering along japan peu and in are damansara she was dirty eyes covered by long hair and fur all matted up after grooving we discovered a brightened perry little maggie if anyone has lost or seen this dog call us or she will be up for adoption after any
tumble,last saturday jan 26 i picked up a tiny kitten from a parking lot in among the local there said that the mother cat has abandoned it and they dont know what to do with the tiny kitten i took her home but my 4 dogs are trying to jump into the house to kill it so i am writing to you to ask for help to care for the kitten or connect me to some people who are able to be the kitten caregiveradopter i named him tumble estimated to be a month old and he has been deformed he needs to be fed kitten milk every 3 4 hours until midges then he can try to eat soft food are you able to help tumble if you are able to help please call theresa thank you
hodor,mischievous little honor is a real delight if your looking for a very playful pet he very active but pretty quiet and is very friendly when he in the mood available for immediate adoption also had other shillings that are available for adoption if you are interested in adopting in pairs or groups
micheal,must whatsapp
ruci,lots of good people too and follow a charming and friendly prices
bili the dalmatian,the up is in very healthy and energetic condition very playful and have already 1 time sac and 1 time reform the up is given by a free of mine as he already have 5 of it the up always stay in house so is very clean and odorless
cici,miles and ici are very active friendly and they love human so much they are a perfect do for you who wants an active and playful cat
no name,i rescued the pets in my conde three little kitten two female and one male i am looking for someone to adopt all three together
g3,location selangor malasha name go names meaning none just a code gender female birth date with may vaccination not yet as she is too young petty training training in process terms conditions as follow to sign an adoption form must be say when she is 6 months old the adoption fee is a deposit for the saying fees adopted can choose to send her back to us for saying at 6 months old or prove to us that saying is done by showing the incision part the met written proof and we will refund the balance after payingdeducting the saying fee we will send to adopted house allow us to visit once in a while vaccination to be follow up medical needs to be given if needed in future no cagingon leash for long hours return to uniform us if they were to be given to another updated via whatsappemailfacebookinstagramhouse visit from time to time to be fed on proper food with proper nutrition meant for dogs love them as a part of the family kindly contact us directly from pathfinder message or private message us at facebook logic or messagewhatsapp us at the contact number provided if interested you can also help us to find a forever loving home for this sweetheart by clinking the share button and share it with your friends or family that are interested in adopting her much appreciated her story with may as we returned home from work as we pass through pushing we saw a cage left outside the old veterinary clinic of st angels pushing there it was a cairo merrier alike and her 6 supplies very highly possibly a dumping case from a backward bleeder her supplies looks like just a few days old wrapped in a small rusty cat cage matted hair smelling horrible and too all around the cage if we leave them there they will have no chance at all so home they went with us when we arrived home it was further prove that she once had an owner is trained and is used for breeding she walks on leash like a trained dog and knows exactly what to do initially she was a little fierce as she must have been in so much fear after some time she calmed down a little more marie has got very badly matted hair all over her and very bad tick infestation showered and shaved off all her fur due to her being around her supplies we do not dare to use too strong of a tick shampoo on her hence more on mentally removing them slowly she is around 6 years old supplies are not more than 2 days old her legs appears to be very weak doctor says she is being caged all the time type so its most probably used for breeding before this go is one of marines supplies this is a result of irresponsible ownership attitudes of just buying a pet not entering and then running away from responsibility these are lives not a bag you can just dump aside as you wish be responsible be a human with a heart adopt dont buy or shop never your pets
flo maylee,mallein and flow are two lovely adorable sisters they are very friendly and affectionate but wary of strangers and make good watchdog mallein has golden hue on her face making her a husky lookalike flow has a darker face with brown feet and is the more outdoing and dominant of the two looking for good homes adopted must vaccine and say them
puppy 2,adopted must vaccinateneuter and keep puppy indoorsfenced callwhatsapp one pet 2120 one square tingkat mahsuri 1 bryan leaps opening
no name,dog for adoption
long hair cats for free,3 shillings i found nearby let station tied up together with small amount of food i brought them home and feed them now i am giving them to those who want a new family member they have a long fur around 5 months please do call or whatapps me tula tumour among 
buster the mini german shepherd,muster is still waiting for his forever home could you be the one for muster 14 update muster has been entered and is ready to go to his forever home please call us if you can give muster the home that he deserves we found muster last sunday 13414 in but undah among he was clearly lost and was frightened and confused after spending ages trying to calm him down we managed to get him home unfortunately he did not get along with one of our foster dogs at all so we had to board him at our met while we tried to locate his family we have had no luck so far as no one has come forward to claim him although his picture has been shared clot and we have also put up posters in the area where we found him and in the surrounding taras he has however been miserable at the met and has refused food since sunday he has also been howling and thrashing himself against the cage trying to get out we managed to get another foster carer today 14 and he is feeling much better at the foster cares place we have discovered that he okay with female dogs and supplies but dislikes adult male dogs muster is a really sweet dog and loves to sit and muddle in your lap he loves car rides too and would sit in your lap and look out the window quite happily muster needs to be in a home environment with someone who will give him lots of muddles and love do you think you can give muster the home he deserves please call me at 
orange baby,orange was found as a stray and was having severe fly and eyes infection when it was found it was sent to the met and received treatment and currently it is a healthy cat being fostered orange is now seeking for adopted who is willing to provide her a forever home
choi sun yeh,he was abandon at our footstep on any eve hence we name him godoffortune hoy sun yes he is barely with old but he learn trick very fast he know sit come no stop hand and in teaching him to fetch hoy sun yes is smart playful and his fur is low maintenance we had given him his st vaccination and deformed he is recovering fr final infection and new owner must count to apply antifungal cream for him only once a day and for next 2 weeks please adopt godoffortune he will give you and your family endless love and joy i can be contracted to
tilly,mummy cat gave birth to them but we are unable to keep them
xiaobai bibi 101,hi recently i been force to house moving so there got a main problem for me which is my home got keep 5 dogs only 2 of them i am able to bring to new home so the other 3 i need to let people adopt them here some information about them dog 1 xiv bad age 5 years breed mongrel sex male dog 2 bill age 3 years breed mongrel sex female stayed dog 3 age mostly 2 years breed mongrel sex female stayed free of charge just promise me that you will treat them good and give them happiness location is in tula tumour keeping area please prepare the transportation thank you
2 little kittens,kitten for adoption 2 and half months old 2 females the calico the black one has been adopted able to eat independently toilet trained the female calico on the left of the male is very social the female calico on the right of the male is sweet and gentle
no name,small kitten rescued from the street gray and white with dotted patterns playful and healthy for adoption free of charge
baobob,this is baboon he a cut and sweet puppy staying around the neighbourhood playground next to a semi busy street he sleeps under cars when it rains and hides there too when he nervous i have been feeding and daring for baboon for the past month everyday i have also been trying to train him and he shows promise now baboon is looking for a good forever home
mandy,many is an adorable puppy very tame and love human touch she is faithful and devoted to her master many has a pair of blue colour eyes very unique if you are interested please call ms fan at
amos,no fee charges but any donations will b very much appreciated and helpful to our family shelter which consist of 80 fur kiss its totally up to certain individual
debi,debt is a mixedbreed dog with warm brown eyes and a predominantly black coat she is a sweettempered girl and has been wellnurtured and trained by the owner since she was brought home as a puppy she is used to being around other dogs because the owner had up to 5 dogs in the house at one time she is a kind and gentle dog but is also the perfect guard dog debt has been indoortrained and is also comfortable being outdoor
jack russell terier for adoption,these are the children of a female jack russell merrier that my aunt earthly are kind of playful but cutethey are adorable took hope that people who like to adopt these angle will treat them welllove it and protect thanks
l17,for adoption please contact me
no name,please help those puppiesgive them a homeplease call uncle ok if interested tell
suzie,sums if you would like to adopt size i will be on a client site and may not have access to my phone most of the time please leave a text message if i dont pick up will call or text back as soon as i can looking for a companion for life gentle size will make the perfect companion for you and your family this is size one of foxy pus that we rescued at the end of may she is a very sweet dog and will be a great companion she is also great with kiss she knows how to sit already and is being petty trained size is fast learner and just wants to have a family to love she is healthy and has received her first vaccination she is now ready to go to her new home and family the terms conditions for adoption are 1 there is no adoption fee but any donation is greatly welcome to defray the costs of reforming vaccination entering and other medical costs 2 an interview and a home visit will be conducted before the pus or foxy are released to their new home 3 they should not be caged or chained for long periods of time and should be treated as members of the family and be given lots of love 4 they must be provided with sufficient food water exercise medical care when necessary and clean shelter from the heat and rain 5 the pus must be entered by the adopted when they are older 3 months this is nonnegotiable if you are unable to agree to the tis above please do not contact us
grey,5 months old kitten roaming around in the carpal area of my apartment he is very friendly towards human to the extend that he jumps into your car but his over friendly brings him problem those people who dislike animal chase and kick him away kiss who think animals are dirtywonder who gave them those ideasthrow things chase and shout at him he just sleep under cars but he was lucky that few leaders gave him unlimited food and he is definitely very very lucky now he stays in a big anglo house and sleep in bedroom with his owner
no name,mother was rescued from the streets and recently gave birth to 2 adorable pus both pus are up for adoption
dee dee,see see is from a litter of 5 its mummy gave birth at my office storeroom and i have taken them in since then i need to become them as i will be shifting to another conde that does not allow pets see see and its shillings are one month old and are litterboxtrained see see is already able to eat cat nibbled and wet food on its own pus contact me at if interested the adoption fee of rm80 is to cover the saying fee when see see has reached 6 months of age
jumper,i am an international student and have just completed my studies in malasha i plan to go back home but i need to find someone to adopt our cat jumper that i adopted together with my friend my friend is also going back home so we urgently need to find a good home for jumper we adopted her when she was 7 weeks old and have been with her ever sincejumper is now a year and 9 months old and is a lot of fun she loves company and we want to leave her with the very best
novy,she is tame soames persian she loves to be patted blue eyed cat she loves to sleep she recently got her back leg scratched somewhere
donovan,donovan is a happy and active puppy who was rescued from a mansion drain he is affectionate and playful and he is looking for a good and loving home i would be willing to provide transportation to bring him to his new home if required
milo,very super active healthy kitten he is eating backwoods kitten the color is so beautiful i cannot unload his pick through phone i will only release him to people who live in landed house since he really love to play outside he did not live in the cage he is very brave kitten he is just 7 months but already so big now if anyone interested j contact me and ill forward his pick
bearrr,these 4 cutis pie supplies were found as stray in may are they are currently staying with surmise mechanics who loved them lots but have no fund and time to take care of them they are very playful you may adopt one or more than one as they get along each other well these supplies will definitely grow up to a loyal companion for those who love dogs 
baby cute,say day are bank during di human sample jiran2 day komplennak bang means lesion that why say oak caravan adopted until merekai love them but i can anymorecoz i stay kondosaya stay di maman pelangigombak
silka,her name is silk i adopted her when i went to pet world malasha at mid valley the other day she got my attention when i came and pick her up and being so active she my happiness now with my husband she so healthy and active she always run here and there when i was at home and also sleep with me so sweet of her loves silk
no name,this puppy was born by a female stray that i took in from the street a few months ago adopted must never him when he is mature enough for the operation in about 8 monthly op costs from rm60 onwards only here one of the many places where you can get them entered no long hour of tying and raging
z4,for adoption
hans solo,hans solo is a crossed with soft medium fur gentleinquisitiveplayful full of live please call for adoption
uncle guards puppies,yesterday evening we saw one kind uncle guard feeding one skinny stray in iota damansara we stopped to offer him some nibbled and had a little chat with him uncle guard reveals that he has been feeding taking care 4 supplies he asked whether we can help him to become them as he dont want the supplies to end up as stray like the rest of the adult orgies so here we are to help uncle guard to find home for these 4 gorgeous girls we had shared with uncle guard the importance of saying them to prevent future unwanted supplies that we will try to approach term for help in this mission can you little angels out there help to share this album help uncle guard to become these 4 babies pus whatsapps should you need any clarificationinformation million txt 
moshi,healthy active loving adorable 
kittens for adoption,two tame young kitten up for adoption very cut and sweet looking for a safe home and loving cares dont be shy to whatsapp or call me for further details
elmo,elm meaning helmet protection elm is one of the 5 supplies that are rescued twinklebuddysparky and pirie really hope they can be adopted by a loving and daring family as soon as possible if interested please contact mrslai at thanks 
fi fi,for serious adopted only free adoption for a mixed breed female up she is a quiet and lovely up sire is a alsatian and mon is a mongrel the mon give birth for 5 pus four adopted left the female up only she will be a big size dog when full grown vaccination and neuteringspaying at 6 months of age are needed please give her a home please sums to me only 
fluffy,we rescued fluffy here from a factory area near my place finding for food and a place to hide without her mother now an uncle is fostering her and we are trying to find for her a good forever home
3kittiesjb area,posted on behalf of rescue please contact john if your able to give those adorable a homethank you for choosing adoption instead of buying john 12 3 3 adult cat for free adoption 1 2 male entered cat 3 female stayed cat location maman university door
haley,kindly give this up a place called home and love that will be returned many times over note we do not collect any adoption fee but if you would like to contribute towards her saying fee we welcome your generosity according to your affordability alternatively you can support us with dog nibbled as part of our rescue mission all these with no obligation but most important is to give this up a good home
ah choy,she stay in a food court but i had seen few hawkers there thrown stone to them its pity to have some foods at there all female dogs i had bring to never i just hope that somebody can adopt tremor others safe place to stay
 velvet elvis ,introducing dashing little pelvis male kitten 7 weeks old picked cabby with gorgeous hazel eyes risky boy loves to play he even cook before making his dash anywhere he adores people and knows how to speak me back when spoken to pelvis loves being huddled to sleep he does not struggle nor use his claws in any way a real lapkitten this boy needs a little time to adjust around other cats long as they do not pose any threat he alright pelvis is healthy has been deformed once and given frontline flea meditation already clever with the litterbox and able to eat nibbled independently important note for potential adopted pelvis must be kept indoors for his own safety apartments need to be catsafe pelvis must be entered when he older he was rescued from the streets and there are far too many kitten like him out there who need homes premium food feeding only no whisky friskies etc please inquire this is for his long term welfare please drop me an email or call if you feel that you may be just the right person for this boy thank you
happy chan,attention a poor little up was found at pardon undah near limb bank and his yesterday he looks like a mixed breed he nearly hit by cars when he was trying to cross the busy road give been trying hard to catch him but he afraid of humans to go near him ill name him as i for the time being i is now under well care and in a healthy condition please help to spread the message widely note i will help him to find a new forever home if no one claim him after a week thank you
nala simba,1 march update adopted by caroline of damansara perdana d ms long mr short have been renamed as mala limb respectively by their mummy microchipped vaccinated thrice completed applied monthly with advocate to protect against fleas heartworms fed with premium kitten nibbled and will drink water from a bowl toilettrained to use the litter box domesticated friendly affectionate very playful and puris when held the adopted must agree to the following conditions 1 both kitten must be adopted together because they keep each other company and out of trouble 2 the adopted must be a malaysian 3 the kitten must be kept indoors at all times 4 never mr short at 8 months old and say ms long at 6 months old 5 vaccine them yearly to protect against diseases 6 apply spoon meditation advocate recommended monthly to protect against ticksfleasear mitesintestinal wormsheartworms 7 the adoption fee of rm80 must be paid in full as it just covers a small portion of the total met cost am as at 5 february their adoption fee would be used to help the next needy forbid for their adoption i would be providing the following 1 their vaccination cards 2 their pet passports microchip document if your interested to adopt the kitten please sent a message via petfindermy and please share about yourself malaysianexpatriate workingstudent your place eg if renting landlord allows pets if living with familyfriends do they agree to pets and your cat ownership experience please dont just provide a phone number because i wont calls i dont have whatsapp and prefer to correspond by email first looking forward to hearing from you
hei heicross bred dog108,cross bred dog for adoption free my son get his puppy from his friend and we unable to take care of him
caramel muffin,calomel and coffin are two brothers that were born on 15 november both are chubby welled kitten that already weighed around g when they reached 1 month old they have to be adopted together so that they can be off and keep each other company when you are at work some important into checked by met and reform treatment was done on 6 december able to eat solid food mostly wet cat food and chicken vaccination has to be given when they get bigger about 23 months old litterbox trained the adopted has to make sure that they get regular good fresh food the adopted has to make sure that they are entered when they reach 6 months old to ensure that they get a good chance at a long healthy life please email or sums me if you are interested to adopt give your name where you live and work and the reason why you want to adopt i would inquire some details from you to understand your request for a pet
ameera,so lovelypassionatecan be good friend for you
boo boo,one of the survivor from plan seat being been through a very tough time
polkadot,polkadot is a very soft sweet and affectionate kitty with good grooving and a nice straight tail she was rescued from the food stalls but being so young she quickly adapted to indoor living using a scratch post litter box staying off of tables and muddling at night she is a polite little girl who has quickly learned her manners she has been treated with frontline entered vaccinated and deformed she needs a loving home like they all deserve and to have someone to muddle with her she gets along great with other cats would make a wonderful pet for a child check out her sundry video
jaka,am including vaccineationdeworm microchip and fully medical check delivery within a week after booking date the cat have problem with left eye
taco nacho,2 very young kitten dumped behind our shop in seremban 2 still bottlefeeding when we found them now in process of meaning to soft food slow process as they have no mother cut as neck 2 for anal during dibuang di belakang media mash menyusu seas dijumpai sekarang sedan proves certain such agar combat seat bu take add until ajar makar calm pinggan sang come pus call 
pipsqueak,one of four brothers found dumped and starving at melawati ll
lao da,my own cat just 1 12 months healthy and active
no name,the puppy fostered at tula tumour i hope animal lovers from tula tumour can adopt this puppy and please dont feel hesitate to call me
bobo,thanks akin for adopting bubo 
cute fluffy kitten,the kitten is tricoloured and semipersian she about 3 weeks old which is why we haven stayed her if you want her stayed you can adopt her and when she old enough well bring her to the met to be stayed my friend found her in the garage and took her to the met i fostered her and now she is currently being fostered by my cousin she very small and playful her bites agent painful to me scratches just feel like feathers falling on you she currently being fed soft food and milk she has already been taken to the met and taken her medicine but we will take her to the met on the with of june again to be absolutely sure she is wormfree i dont know for how long my cousin can keep her hoping to find a loving owner for her as soon as possible if interested you can contact me or nice rescue at is she is extremely cut
naari,near is the sweetest girl who walked the earth she just likes to be patted and most of the time minds her own business if you give this sweet girl a chance you will never regret it please open your hearts to her call us immediately at a must view
no name,a lucky black kitten entered my home alone and the rest is history wellbehaved slightly shy and quiet got along well with my two cats loved climbing my 5 feet cat tree long tail with a king at the end appears to be healthy have already sprayed with frontline will say before being adopted currently being house in a pet shop in sir healing
kitties,to whom who may concerned these 4 kitten were given birth by my pet cat on 10thmaysome of them may be a little bit shy at the beginning but they are easy to get along well withmoreoverthey are playful and cut hope that someone could give them love in no time 
peanutt,peanuts along with her sisters pebbles and cook are three cut orgies in need of a home peanuts is a friendly and easygoing up very alert and smart obedient girl and can sit quietly in a car on your lap vaccination and entering are compulsory cost to be borne by adopted no tying up or raging unless necessary for short hours please give her a good home
caleb,caleb was found on a busy street looking terrible with matted fur we suspect this is a dump case he has been sent for medical check and administered with basic prevention and entered he has also been provided with professional basic grooving to remove all the matted fur caleb is well behaved friendly and peopleloving type he doesn bark unnecessarily and is perfect for any dog lover we are charging am to cover the cost of his entering and medical fee receipt and medical card will be provided if you are interested here is our requirement 1 adopted must be a malaysian or a or if you are below 18 years old we will require your parents to speak with us on the adoption procedure 2 adopted must be an animal lover and preferably have experience in handling dog 3 no long hour of raging or tied on leash 4 provide necessary medical needs vaccination reforming fleatickheartworm prevention etc 5 adopted must add us on facebook so we can receive his progress update 6 during the initial stage of adoption allow visitation so we can ensure caleb is adjusting well to his new environment for this reason adopted residing in klan valley is highly preferred 7 approval for this adoption is only for the successful adopted caleb cannot be transferred to third party without seeking our permission if your interested to adopt caleb you may sums or email me provide your details particular type of house and experience with dogs
tinyboy,tiny is a large friendly dog looking for responsible forever owner please call jocelyn if you can be that person
mushi,a playful boy who u cannot resist loving
siamese greystrippy,i have two kitten for adoption one white soames female one greyblackstripped with a light tint of brown male age 9 weeks started eating solid wet food kitten are toilet trainedthey will grow into semi long hair cats very activehyper and healthy for those interested to adopt please bring your own carriercage would prefer them to be adopted together by catloving people foi i live in but beruntung drawing if you dont mind the distance
zee,his name is see he is 2 years old and very healthy but not always playful i have been keeping him for 2 years but was recently given a warning notice by the conde management that map has started taken action in removing pets in apartments after a year of my stay we are forced to give her up for adoption being said there are also another 2 cats folly for female entered mother of see and nova male 4 months old as for see he is for male stayed i wish both folly and see can be adopted together due to their relation and the time spent together they very much rely on one another as for nova he is rescued on november so he is still a new family member to folly and see nevertheless they got along very well all 3 of them are petty trained they are also able to share food together they have almost never shown any aggression towards each other i wish the next adopted is knowledgeable about cat behavior as it will definitely require some period of time for the cats to adapt to the new environment financially independent best if your are staying in a landed property for confirmed adopted i can still arrange for meet up even if its out of klan valley thanks
female kitten for adoption,my friend charles and her fiancee andy found this poor baby girl in the middle of the highway in front of 1 stamp they have brought him to the met for check and boarding they are unable to keep her as they already have 2 dogs so if anyone is interested to adopt this baby girl and shower her with love and care please drop me a message or you may contact charles and andy directly at thank you and god bless you
ducky,lucky is alert active and very friendly we are sure she will make a good and loyal pet
lala,lata is very active kitten friendly with human and already been trained
whitey,found him and his brothers abandoned outside my apartment block i took them to the met for a check and reforming give been daring for them since and there happy healthy and playful now i recently took them to the met again for their first vaccination doctor says there doing fine three is too much for me to handle though so in putting one up for adoption
kuro,he was dumped by his irresponsible owner when just few days after birth healthy and happy puppy if you are willing to give him a home pus call me
croc,puppy for adoption
abby,location iiumuia combat contact nocalltextwhatsapp
no name,healthy litter box trained and eating royal cabin babycat very friendly cut loving and active kitten location maman path opening serious cat lovers call or sums
wallace,palace is a playful yet charming little kitty he is toughyet limit especially when the vacuum cleaner is on he has beautiful fur he is a lovely little kitty and he needs a loving and daring home kindly contact me if your interested to adopt palace to brighten up your daily life d
no name,i love my cat but i feel its time to look for a new better home for her her is a female cat already 3 years its really sad for me to give them but with my study life finish in university pains malasha i need back to china i barely have time to look after her do any of you know of the best way to find a good loving home for her if have any one interested and or home in opening ply contact me before 26 june my contact number as below
lala,lata has the sweetest face she naughty and highly affectionate her owner abandoned her and her sister wiki at upon sca where they are currently residing please give her a home please urgently adopt as upon has many cats and some are not so well adoption is free but if you wish to give a donation towards upon sca feel free to do so
